label,BRCA1,BRCA2,TP53,PIK3CA,CDH1,PTEN,AKT1,MYC,CCND1,ERBB2,ESR1,PGR,MKI67,KRAS,EGFR,VEGFA,MMP9,CDKN2A,STAT3,JAK2
Cancer,-1.6611,-0.5708,-1.0107,0.4565,2.1516,1.3614,-1.1024,-2.6727,1.8872,1.799,3.0842,-1.276,-2.8288,-0.1708,-2.0293,-2.3295,-1.8318,0.3777,0.1568,0.0297
Cancer,-1.3879,-1.3405,-0.3385,0.275,1.7842,0.4284,-0.2438,-0.7523,1.023,2.5213,2.386,3.4165,-1.8375,0.4045,-0.4754,-1.4411,-4.2045,0.4871,1.3798,0.2693
Cancer,-1.9248,-1.541,-0.5445,0.5718,1.7918,1.3056,0.0186,-1.9892,-0.5033,3.4108,0.7912,2.774,-2.8418,0.1853,-0.883,-1.6557,-4.7178,1.5789,1.5619,0.0587
Cancer,-1.6562,-0.4048,-0.8002,0.8905,4.4287,0.8096,-0.157,-0.9731,1.6576,2.6008,2.4954,2.3208,-1.384,0.4285,-0.9467,-1.2897,-2.8072,0.5072,0.7429,0.5682
Cancer,-0.3582,0.629,1.6717,-0.5238,-0.1848,0.2509,0.3308,0.1707,-3.6312,-1.6558,-4.8607,-2.9254,0.4715,1.6762,-1.378,0.539,-4.324,0.251,0.6811,-0.8923
Cancer,-1.9957,-1.2315,-0.3845,0.3572,1.2836,1.3108,1.008,-2.3138,2.667,5.5158,2.797,-2.1873,-1.761,0.238,-1.3409,-1.35,-2.5957,1.2719,1.2574,0.3582
Cancer,-0.1364,0.768,0.8112,0.603,0.4226,-0.2369,0.6818,-0.1853,-4.0771,2.4989,-4.4861,-2.7887,0.3452,0.4698,0.4282,-2.5193,-3.7068,-0.6943,0.7852,-1.0495
Cancer,-0.7098,-0.033,-1.8122,0.2685,1.9502,-1.2432,-0.6649,0.0393,1.5703,0.9221,-1.6274,-2.0603,-1.281,2.1588,0.3315,-1.8061,-1.1335,3.4422,0.3424,-0.5852
Cancer,-1.3966,-1.0525,-1.0343,1.022,1.9925,1.2074,-1.3855,-1.4374,-1.0363,1.7542,4.1156,4.5687,-2.503,0.097,-1.5908,-1.5778,-3.5192,0.3619,0.058,1.104
Cancer,-3.127,1.5498,-1.8085,5.8802,0.4919,0.2884,0.0511,-1.4905,-2.7996,1.6755,0.4732,-3.3953,-1.4045,0.3914,1.2858,0.6993,-4.655,1.162,0.7396,0.1758
Cancer,-1.3003,-0.379,-1.1813,0.4008,1.6962,-0.1658,-1.0278,-0.6685,-0.4601,1.0031,-1.8016,-1.3045,0.1762,0.3207,0.9609,-1.3246,0.5525,1.0689,1.5431,2.1045
Cancer,-0.5412,-1.8628,-1.1792,0.4532,2.6548,0.5854,-0.9266,-0.9277,0.769,2.0371,3.8452,2.795,0.2238,1.7721,-2.2197,-0.5316,-3.6632,-0.1407,0.0878,-0.4273
Cancer,-3.2722,1.3762,0.9892,0.9098,2.7335,-0.0017,-0.3658,-0.4258,-2.5436,1.2435,-3.2447,-2.841,-0.156,0.3572,-0.1684,-0.7329,-0.5822,-0.9707,0.4337,0.374
Cancer,-0.4072,0.5105,-1.8075,-0.5212,0.4352,0.4586,-0.5286,-0.6965,-1.1024,0.7836,-4.2143,-2.5795,0.4562,0.2798,-1.5685,-0.2138,-1.887,1.8117,1.5329,-1.4935
Cancer,-1.8257,-0.7163,-0.4085,0.5612,1.6849,0.7145,-0.0006,-0.9854,3.1192,2.7601,4.0717,-0.6652,-1.1388,-0.1362,-2.3862,-1.1392,-2.113,0.7867,1.1032,0.3602
Cancer,-2.3733,-0.4368,-0.223,0.104,3.1562,0.367,1.1264,-1.6964,-0.2712,5.0181,-1.4626,-2.1802,-1.687,0.1278,-0.5356,-0.8166,-3.2642,2.0942,0.2191,0.3285
Cancer,-1.2683,-0.049,-1.0627,0.1318,2.8911,0.924,-0.1385,-2.2529,0.6701,4.8421,0.9173,2.0172,-0.6288,-0.0105,-3.2139,0.0788,-1.495,0.7594,0.2716,0.8945
Cancer,-1.1105,0.1125,-1.3145,-0.0848,3.4204,-0.0349,-0.0459,-1.4043,1.0741,2.7901,3.0127,0.7188,-0.8015,-0.1209,-2.4509,-0.7511,-1.4048,-0.2512,0.331,0.2523
Cancer,-0.8538,0.217,0.134,0.732,2.0696,0.146,-0.4584,-0.9726,0.0147,0.9345,0.4322,-1.2732,-1.0585,0.4492,-1.6438,-1.2585,-3.6285,0.2098,0.9674,1.3348
Cancer,-1.2792,0.4242,0.4903,0.8608,1.8055,1.3563,-0.7909,1.0237,-0.332,0.8398,-1.4428,-2.786,-0.0882,0.3379,-0.0592,-0.945,-0.1862,2.433,1.1794,0.888
Cancer,-2.6276,-1.6538,-0.6622,0.5675,1.6846,0.9346,-0.9684,-1.6399,-0.1013,1.9525,2.8542,3.8443,-3.9005,0.6154,-0.8663,-1.0693,-3.7255,1.0232,1.171,0.6647
Cancer,-1.3598,-0.645,-0.4283,-0.3535,1.9735,0.643,-0.2542,-2.5477,0.937,2.5248,4.3583,3.3052,-1.1405,0.1741,-3.3975,-0.7904,-4.7865,-0.9474,1.4857,-0.477
Cancer,-1.7392,-0.5475,1.0105,0.492,2.7298,-0.145,-0.4975,-2.3519,0.0042,2.1331,4.5212,3.3313,-2.321,0.5598,-2.5375,-1.033,-2.824,0.4012,1.1906,1.0018
Cancer,-0.9069,-0.8075,-0.668,0.3302,3.029,0.2699,-0.3159,0.4817,1.8082,2.8457,3.9869,-2.2558,-1.7692,0.5728,-2.436,-0.8913,-4.1725,0.3292,0.6569,-0.7065
Cancer,-0.6561,-1.242,-1.1548,0.374,3.932,0.4733,-0.8234,-1.4702,2.0465,2.8844,5.1325,-1.1482,-1.951,1.0486,-1.6896,-1.5535,-5.0228,0.5996,0.6786,0.0447
Cancer,-2.7661,-1.9102,0.1415,0.3777,1.6898,0.9774,-0.0891,-1.1865,-0.5686,1.5024,3.6391,2.623,-4.763,-0.1187,-0.5666,-0.9213,-4.836,0.7194,0.738,0.495
Cancer,-1.2376,1.213,-2.3473,0.494,4.0173,0.4572,-1.0026,-2.3197,-0.8688,1.9081,4.5262,3.1605,-1.371,0.12,-2.3319,-1.0774,-2.1422,-0.8504,-0.2322,0.0767
Cancer,-1.4499,-0.0232,-0.3537,0.363,3.1111,0.8641,-0.2996,-0.5036,-1.3158,4.5844,-1.2716,-2.9985,-0.441,0.3048,-1.9704,0.4229,-1.4665,0.8872,0.3491,0.0738
Cancer,-1.9412,-0.9485,0.2508,0.522,1.9392,0.641,-0.8232,0.356,0.1415,1.8105,4.3904,-1.5408,-1.3167,0.6436,0.1568,1.6454,-4.0658,-0.6298,0.63,-2.4488
Cancer,-2.5154,-2.1782,-0.2587,0.4978,1.1576,0.9818,-0.7045,-1.2283,-0.3115,2.0566,1.6641,-0.8573,-3.1058,-0.0053,-0.1297,-1.9264,-0.3118,1.1663,0.7726,0.1813
Cancer,-0.3827,0.3408,-1.736,0.604,0.8724,0.335,0.9089,0.9048,-0.7701,1.4691,-4.6259,-3.1327,-0.0812,-0.9648,0.3797,0.2544,-0.4132,0.1676,0.9592,0.7757
Cancer,-1.6614,-0.8145,-1.8907,-1.1428,2.875,1.1,0.4304,-3.7913,-0.281,4.9379,-2.7191,-2.6427,-0.686,0.2526,5.081,1.0097,-2.8668,-0.486,-0.1943,-0.9845
Cancer,-2.5667,-0.3582,-1.5698,0.4375,1.3572,-0.6985,-0.6576,-0.7829,-1.3028,1.0828,-2.594,-2.1408,-0.563,-0.2497,-1.1073,-0.7459,-0.9832,0.5997,0.9814,0.109
Cancer,-2.4274,-1.474,1.417,-0.1985,1.2653,0.2691,0.2042,-1.5249,-1.2856,2.2282,3.1901,4.1598,-4.5485,0.158,-3.3665,-1.1605,-4.113,0.1226,1.2689,0.4462
Cancer,-0.1938,-0.0688,-0.7678,0.3805,2.7457,-0.1341,-0.6612,-1.6632,2.1608,1.8766,3.561,-0.9395,-0.7145,0.5282,-2.4716,-1.0193,-5.1123,0.3096,0.3888,1.542
Cancer,-2.1207,-2.5278,0.1322,-0.1455,1.7564,1.3559,-0.6375,-1.9695,0.4438,2.2534,4.1659,4.0192,-2.7638,0.6422,-1.9889,-1.7015,-4.1692,0.3416,0.7761,0.5977
Cancer,-2.1382,-1.192,-0.4253,0.5175,-2.6032,0.7846,-0.0615,-2.1365,-0.7626,2.508,3.4388,-2.127,-3.074,-0.0528,-1.4198,-1.0751,-3.8488,0.7999,1.8659,0.511
Cancer,-1.9237,-1.7052,-0.302,0.4042,2.324,1.252,-0.4529,-0.5678,1.9924,3.0489,3.257,3.9678,-2.115,0.722,-0.2773,-1.1387,-2.935,0.8315,1.0281,1.1043
Cancer,-0.8782,0.2908,0.1613,-0.1398,1.7159,0.7269,-0.873,-1.8849,0.7384,2.1589,0.1126,-2.8213,0.412,0.2794,3.3569,-0.9251,-2.9338,-1.3199,0.9027,0.4952
Cancer,-1.5468,-0.1898,-0.626,0.3852,2.6683,1.0258,-0.2209,-1.8334,3.458,1.8619,4.5866,0.7397,-1.1532,0.6797,-2.3702,-1.5094,-3.9218,-0.4466,0.8806,-0.6658
